WorldCoin;0.009359
Ixcoin;0.003904
BitBar;3.38
Phoenixcoin;0.034306
Digitalcoin;0.053818
Megacoin;0.004564
Freicoin;0.012261
Fastcoin;0.001549
Mincoin;0.021809
Peercoin;0.146008
Infinitecoin;5.5e-07
Bitcoin;93.59
Primecoin;0.37438
Namecoin;0.529747
Feathercoin;0.082364
Novacoin;3.94
Litecoin;2.79
GoldCoin;0.000517
Terracoin;0.158175
Argentum;0.037438
WorldCoin;0.01129
Ixcoin;0.004176
BitBar;3.93
Phoenixcoin;0.029515
Digitalcoin;0.06007
Megacoin;0.005422
Freicoin;0.012757
Fastcoin;0.001571
Mincoin;0.022866
Peercoin;0.147201
Infinitecoin;3.4e-07
Bitcoin;98.13
Primecoin;0.343468
Namecoin;0.553475
Feathercoin;0.087339
Novacoin;4.19
Litecoin;2.9
GoldCoin;0.00049
Terracoin;0.164865
Argentum;0.040235
WorldCoin;0.010322
Ixcoin;0.003614
BitBar;3.79
Phoenixcoin;0.021926
Digitalcoin;0.056283
Megacoin;0.004929
Freicoin;0.011363
Fastcoin;0.001888
Mincoin;0.022737
Peercoin;0.160028
Infinitecoin;3.2e-07
Bitcoin;94.69
Primecoin;0.156241
Namecoin;0.539741
Feathercoin;0.082382
Novacoin;3.98
Litecoin;2.91
GoldCoin;0.000417
Terracoin;0.156241
Argentum;0.047346
Anoncoin;0.018696
WorldCoin;0.009872
Ixcoin;0.003937
BitBar;4.92
Phoenixcoin;0.027847
Digitalcoin;0.048762
Megacoin;0.005806
Freicoin;0.011879
Fastcoin;0.001869
Mincoin;0.027555
Peercoin;0.15252
Infinitecoin;3e-07
Bitcoin;98.4
Primecoin;0.178104
Namecoin;0.553993
Feathercoin;0.086592
Novacoin;4.09
Litecoin;2.98
GoldCoin;0.000457
Terracoin;0.174168
Argentum;0.044479
Anoncoin;0.024509
WorldCoin;0.010234
Ixcoin;0.004381
BitBar;3.52
Phoenixcoin;0.027341
Digitalcoin;0.043366
Megacoin;0.005361
Freicoin;0.011458
Fastcoin;0.001647
Mincoin;0.031183
Peercoin;0.152998
Infinitecoin;3.4e-07
Bitcoin;97.45
Primecoin;0.437355
Namecoin;0.560342
Feathercoin;0.086731
Novacoin;4.07
Litecoin;3.1
GoldCoin;0.000537
Terracoin;0.166641
Argentum;0.044209
Anoncoin;0.025807
WorldCoin;0.011032
Ixcoin;0.004482
BitBar;3.57
Phoenixcoin;0.03546
Digitalcoin;0.044916
Megacoin;0.005517
Freicoin;0.012805
Fastcoin;0.001791
Mincoin;0.028569
Peercoin;0.1576
Infinitecoin;3.4e-07
Bitcoin;98.5
Primecoin;0.521803
Namecoin;0.564405
Feathercoin;0.08668
Novacoin;4.05
Litecoin;3.15
GoldCoin;0.000537
Terracoin;0.16548
Argentum;0.052255
Anoncoin;0.027083
WorldCoin;0.010779
Ixcoin;0.00453
BitBar;4.89
Phoenixcoin;0.031703
Digitalcoin;0.040172
Megacoin;0.005617
Freicoin;0.01087
Fastcoin;0.001962
Mincoin;0.038755
Peercoin;0.147645
Infinitecoin;4.3e-07
Bitcoin;90.58
Primecoin;1.21
Namecoin;0.505436
Feathercoin;0.080616
Novacoin;3.85
Litecoin;2.89
GoldCoin;0.000538
Terracoin;0.151269
Argentum;0.072555
Anoncoin;0.018434
WorldCoin;0.010726
Ixcoin;0.004189
BitBar;3.92
Phoenixcoin;0.038988
Digitalcoin;0.035716
Megacoin;0.00613
Freicoin;0.01106
Fastcoin;0.002111
Mincoin;0.030416
Peercoin;0.151159
Infinitecoin;4.6e-07
Bitcoin;92.17
Primecoin;0.898657
Namecoin;0.518917
Feathercoin;0.079266
Novacoin;3.91
Litecoin;2.96
GoldCoin;0.000591
Terracoin;0.157611
Argentum;0.075951
Anoncoin;0.02485
WorldCoin;0.010393
Ixcoin;0.00341
BitBar;4.91
Phoenixcoin;0.037544
Digitalcoin;0.035755
Megacoin;0.008582
Freicoin;0.010727
Fastcoin;0.004693
Mincoin;0.030901
Peercoin;0.148388
Infinitecoin;4e-07
Bitcoin;89.39
Primecoin;0.893901
Namecoin;0.497009
Feathercoin;0.079557
Novacoin;3.75
Litecoin;2.86
GoldCoin;0.000622
Terracoin;0.151963
Argentum;0.082241
Anoncoin;0.070337
WorldCoin;0.011799
Ixcoin;0.003904
BitBar;4.98
